"t0_hhid","LiveStockID","hhid","s6aq03a","s6aq03b","s6aq03c","s6aq03d","s6aq03e","s6aq03f","s6aq04a","s6aq04b","s6aq04c","s6aq05a","s6aq05b","s6aq05c","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13a","s6aq13b","s6aq14a","s6aq14b","s6aq15","s6aq15b","s6aq15c","s6aq16"
"H1810303",6,"0071da69d26d4b29a8f9d29d458e68cf",1,1,,2,,2,0,,,2,,,0,1,0,0,0,0,0,0,,0,,0,1,2,1
"H1810303",10,"0071da69d26d4b29a8f9d29d458e68cf",2,1,,2,,2,0,,,2,,,3,0,0,0,0,1,0,0,,0,,0,2,5,1
"H1810303",7,"0071da69d26d4b29a8f9d29d458e68cf",2,1,,2,3,2,0,,,2,,,2,0,0,0,0,0,0,0,,0,,0,1,5,1
"H1830701",8,"00858c2384184dc3bfc800550a6c8cb5",1,2,,1,,2,0,,,2,,,1,0,0,0,0,0,0,0,,0,,0,8,,1
"H1830701",9,"00858c2384184dc3bfc800550a6c8cb5",1,2,,2,,2,0,,,2,,,0,1,0,0,0,0,0,0,,0,,0,1,5,1
"H1830701",10,"00858c2384184dc3bfc800550a6c8cb5",1,2,,2,,2,0,,,2,,,1,0,0,0,0,0,0,0,,0,,0,5,,1
"H1830701",6,"00858c2384184dc3bfc800550a6c8cb5",1,2,,2,,2,0,,,2,,,0,1,0,0,0,0,0,0,,0,,0,1,5,1
"H3990301",7,"008ffc050d4e47c7920e9c7c2e35887a",1,1,2,1,5,2,1,1,5,2,,,1,0,0,0,0,0,0,0,,0,,0,5,1,1
"H3990301",10,"008ffc050d4e47c7920e9c7c2e35887a",0,,,,,,1,1,5,2,,,0,0,0,0,0,0,0,0,,0,,0,1,4,1
"H3950701",7,"00a09aedb8c049aa8364d377c26c5f81",1,1,2,1,2,2,0,,,2,,,1,0,0,0,0,0,0,1,800000,1,1300000,0,1,5,2
"H3520701",7,"00bbd034f88649bc980b091d4a5af645",1,1,,1,,2,0,,,2,,,0,0,0,0,0,0,0,1,400000,0,,0,1,,1
"H3520701",10,"00bbd034f88649bc980b091d4a5af645",1,1,,1,,2,0,,,2,,,0,0,0,0,0,0,0,1,800000,0,,0,1,,1
"H3691002",10,"00c9353d8ebe42faabf5919b81d7fae7",0,,,,,,0,,,2,,,1,0,0,0,0,0,0,0,,1,700000,0,2,1,1
"H1090502",7,"00db391b5a9a4ef0954f50f148069c46",1,2,,2,,2,0,,,2,,,1,0,0,0,0,0,0,0,,0,,0,5,1,1
"H3730501",7,"0101511a1da74f35b4fb8fd0c2cf8e69",2,1,7,1,7,2,0,,,2,,,4,0,0,0,0,0,0,0,,2,900000,0,5,6,1
"H3730501",10,"0101511a1da74f35b4fb8fd0c2cf8e69",2,1,7,1,7,2,0,,,2,,,3,0,0,0,0,0,0,0,,1,350000,0,2,6,1
"H3780601",10,"0125c97b154d4f249c07f630cd52a102",0,,,,,,1,1,,2,,,0,0,0,0,0,0,0,0,,0,,0,1,,2
"H1530901",10,"01dfba97dd29447f9a82aef0f59237de",0,,,,,,0,,,2,,,1,0,0,0,0,0,0,0,,1,600000,0,1,2,2
"H1530901",6,"01dfba97dd29447f9a82aef0f59237de",0,,,,,,0,,,2,,,1,0,0,0,0,0,0,0,,1,260000,0,1,,2
"H1530901",2,"01dfba97dd29447f9a82aef0f59237de",1,1,6,1,6,2,0,,,2,,,0,0,0,0,0,0,0,1,460000,0,,0,1,,2
"H1530901",4,"01dfba97dd29447f9a82aef0f59237de",0,,,,,,0,,,2,,,1,0,0,0,0,0,0,0,,1,800000,0,1,,2
"H2090701",10,"01fc2a6821064f528ca01e20dbea8db2",2,1,2,1,2,2,0,,,2,,,2,0,0,0,0,0,0,0,,0,,0,4,5,1
"H1400501",9,"020fd884bebf40b0a97f2156b8eda1b6",2,1,,1,,2,0,,,2,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"H1400501",8,"020fd884bebf40b0a97f2156b8eda1b6",2,1,,1,,2,0,,,2,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"H0620801",5,"02617e359bfc48cbaa6ff204cb915790",14,1,,1,,2,0,,,1,3,0,14,2,0,0,0,0,0,0,,2,2500000,0,1,,2
"H0620801",10,"02617e359bfc48cbaa6ff204cb915790",3,1,,1,,2,0,,,1,3,0,5,0,0,0,0,0,0,0,,2,2000000,0,1,,2
"H0620801",1,"02617e359bfc48cbaa6ff204cb915790",3,1,,1,,2,0,,,1,3,480000,0,3,0,0,0,0,0,0,,0,,0,1,,2
"H0620801",2,"02617e359bfc48cbaa6ff204cb915790",4,1,,1,,2,0,,,1,3,0,4,0,0,0,0,0,0,0,,0,,0,1,,2
"H0620801",7,"02617e359bfc48cbaa6ff204cb915790",6,1,,1,,2,0,,,1,3,0,5,1,0,0,0,0,0,0,,0,,0,1,,2
"H0620801",6,"02617e359bfc48cbaa6ff204cb915790",2,1,,1,,2,0,,,1,3,0,0,2,0,0,0,0,0,0,,0,,0,1,,2
"H1910601",7,"0349cc41571b406e889303445fe7e34c",2,,,,,2,0,,,2,,,3,0,0,0,0,0,1,0,,0,,0,4,5,1
"H1910601",10,"0349cc41571b406e889303445fe7e34c",5,,,,,2,0,,,2,,,3,2,0,0,0,0,0,0,,0,,0,4,5,1
"H3171001",10,"038bf67186f048d1966a17475bedd578",1,1,,1,2,2,0,,,2,,,1,0,0,0,0,0,0,0,,0,,0,1,2,1
"H3171001",9,"038bf67186f048d1966a17475bedd578",1,1,,1,,2,1,1,2,2,,,1,0,0,0,0,0,0,0,,0,,0,6,1,1
"H3220901",6,"03d4f5f6631747878b76ad399fb2b80c",1,2,,1,2,2,0,,,2,,,0,0,2,0,0,1,0,0,,0,,0,1,,1
"H3220901",10,"03d4f5f6631747878b76ad399fb2b80c",2,2,,1,2,2,0,,,2,,,2,0,0,0,0,0,0,0,,0,,0,1,2,1
"H3880301",2,"03f862af923942ad9f37fa65f52a8f3d",1,1,,1,,1,0,,,2,,,1,0,0,0,0,0,0,0,,0,,0,6,4,1
"H3880301",5,"03f862af923942ad9f37fa65f52a8f3d",2,1,,1,,2,0,,,2,,,2,0,0,0,0,0,0,0,,0,,0,6,4,1
"H2540901",10,"04077875a3894775bb24f2f42e7adc67",5,8,,8,,2,0,,,2,,,5,0,0,0,0,0,0,0,,0,,0,1,2,1
"H2540901",6,"04077875a3894775bb24f2f42e7adc67",2,1,,1,8,2,0,,,2,,,2,0,0,0,0,0,0,0,,0,,0,1,,1
"H2540901",7,"04077875a3894775bb24f2f42e7adc67",4,8,,8,,2,0,,,1,2,480000,3,1,0,0,0,0,0,0,,0,,0,1,,1
"H2601001",10,"042c4cc37a904f18a05671d5323d78d3",10,1,2,3,,2,0,,,2,,,8,2,0,0,0,0,0,0,,0,,0,2,6,1
"H2601001",7,"042c4cc37a904f18a05671d5323d78d3",3,1,2,3,,2,0,,,1,1,360000,2,1,0,0,0,0,0,0,,0,,0,6,1,1
"H1880501",10,"044525d42e7547cb844fa01062ed908c",1,1,2,1,2,2,0,,,2,,,1,0,0,0,0,0,0,0,,0,,0,4,1,1
"H1880501",8,"044525d42e7547cb844fa01062ed908c",1,1,2,1,2,2,0,,,2,,,3,0,0,0,1,0,2,1,1100000,0,,0,1,4,1
"H1880501",6,"044525d42e7547cb844fa01062ed908c",1,1,2,1,2,2,0,,,2,,,0,1,0,0,0,0,0,0,,0,,0,4,5,1
